Time(s),PPG(mV)
13.9458,1640
13.9478,1629
13.9478,1625
13.9750,1620
13.9844,1617
13.9844,1630
13.9864,1632
13.9874,1639
14.0031,1647
14.0041,1651
14.0041,1662
14.0176,1656
14.0306,1659
14.0442,1669
14.0452,1668
14.0462,1681
14.0594,1683
14.0674,1686
14.0949,1696
14.0949,1695
14.0959,1701
14.1064,1706
14.1084,1712
14.1084,1720
14.1281,1715
14.1281,1721
14.1423,1733
14.1483,1737
14.1483,1744
14.1613,1742
14.1699,1747
14.1796,1752
14.2104,1741
14.2113,1741
14.2120,1739
14.2120,1744
14.2184,1754
14.2184,1757
14.2385,1785
14.2385,1823
14.2517,1882
14.2527,1961
14.2537,2048
14.2670,2158
14.2794,2264
14.2933,2368
14.2933,2478
14.2942,2574
14.3316,2661
14.3326,2724
14.3458,2760
14.3458,2785
14.3468,2774
14.3478,2743
14.3820,2688
14.3830,2610
14.3840,2525
14.3850,2416
14.3850,2300
14.4134,2184
14.4134,2061
14.4144,1955
14.4197,1844
14.4444,1747
14.4444,1668
14.4454,1590
14.4553,1533
14.4798,1483
14.4798,1444
14.4808,1428
14.4869,1407
14.4869,1406
14.5257,1414
14.5267,1426
14.5267,1451
14.5277,1471
14.5287,1499
14.5407,1536
14.5407,1566
14.5694,1606
14.5700,1636
14.5712,1669
14.5792,1711
14.5802,1743
14.5935,1783
14.5945,1821
14.6097,1856
14.6233,1895
14.6243,1913
14.6243,1939
14.6396,1958
14.6509,1962
14.6589,1961
14.6608,1942
14.6857,1928
14.6867,1904
14.6867,1867
14.6944,1841
14.6944,1812
14.7079,1790
14.7190,1765
14.7200,1733
14.7352,1714
14.7362,1693
14.7474,1678
14.7602,1671
14.7612,1660
14.7682,1663
14.7944,1662
14.7957,1657
14.7968,1661
14.8091,1657
14.8101,1664
14.8181,1665
14.8422,1663
14.8422,1675
14.8422,1676
14.8483,1681
14.8614,1685
14.8633,1682
14.8803,1691
14.8813,1695
14.8873,1698
14.9155,1708
14.9165,1708
14.9165,1720
14.9364,1721
14.9374,1722
14.9394,1732
14.9532,1733
14.9532,1737
14.9542,1735
14.9701,1732
14.9713,1741
15.0021,1742
15.0031,1755
15.0031,1778
15.0280,1813
15.0291,1872
15.0291,1936
15.0482,2023
15.0492,2126
15.0502,2230
15.0502,2341
15.0602,2437
15.0685,2537
15.0797,2631
15.0797,2691
15.0877,2742
15.1021,2766
15.1080,2767
15.1171,2749
15.1307,2694
15.1307,2628
15.1554,2543
15.1564,2436
15.1574,2327
15.1656,2200
15.1666,2083
15.1809,1972
15.1859,1859
15.2144,1761
15.2144,1671
15.2234,1601
15.2314,1544
15.2368,1491
15.2426,1464
15.2426,1446
15.2731,1437
15.2740,1434
15.2740,1429
15.2750,1442
15.2750,1457
15.2929,1472
15.2939,1499
15.2979,1526
15.3119,1565
15.3171,1599
15.3294,1630
15.3294,1672
15.3391,1708
15.3531,1749
15.3591,1788
15.3601,1824
15.3877,1871
15.3887,1903
15.3990,1928
15.4005,1950
15.4011,1957
15.4131,1965
15.4271,1954
15.4281,1938
15.4281,1924
15.4402,1901
15.4492,1880
15.4634,1852
15.4769,1821
15.4769,1799
15.5101,1768
15.5111,1745
15.5111,1728
15.5191,1714
15.5201,1711
15.5335,1695
15.5335,1687
15.5391,1683
15.5391,1677
15.5491,1677
15.5582,1665
15.5712,1666
15.5801,1671
15.5811,1664
15.5940,1669
15.5950,1672
15.6418,1682
15.6428,1697
15.6588,1695
15.6598,1707
15.6608,1715
15.6618,1715
15.6618,1720
15.6628,1715
15.6794,1725
15.6804,1740
15.6804,1751
15.6954,1784
15.6954,1826
15.7114,1893
15.7184,1979
15.7184,2068
15.7503,2184
15.7513,2296
15.7513,2403
15.7619,2509
15.7701,2592
15.7701,2675
15.8014,2727
15.8034,2754
15.8044,2763
15.8044,2741
15.8056,2702
15.8177,2638
15.8320,2547
15.8330,2453
15.8574,2340
15.8595,2227
15.8732,2110
15.8732,1991
15.8824,1889
15.8834,1786
15.9065,1697
15.9130,1623
15.9130,1556
15.9220,1513
15.9306,1472
15.9368,1444
15.9622,1431
15.9866,1421
15.9876,1426
15.9876,1432
15.9886,1448
15.9906,1481
15.9916,1509
15.9916,1546
16.0069,1586
16.0079,1625
16.0219,1670
16.0229,1704
16.0292,1745
16.0431,1790
16.0431,1824
16.0441,1863
16.0602,1886
16.0661,1913
16.0931,1942
16.0931,1952
16.0942,1964
16.1081,1964
16.1091,1958
16.1226,1953
16.1236,1932
16.1246,1918
16.1420,1899
16.1465,1872
16.1475,1850
16.1606,1818
16.1690,1795
16.1820,1776
16.1830,1745
16.2135,1724
16.2146,1699
16.2156,1689
16.2269,1681
16.2269,1667
16.2414,1670
16.2424,1668
16.2424,1670
16.2606,1675
16.2666,1671
16.2666,1679
16.2983,1685
16.2993,1687
16.3003,1698
16.3003,1708
16.3111,1736
16.3369,1774
16.3379,1820
16.3379,1899
16.3469,1985
16.3479,2091
16.3669,2202
16.3805,2313
16.3815,2431
16.3874,2530
16.4014,2616
16.4105,2693
16.4105,2740
16.4164,2777
16.4294,2779
16.4583,2753
16.4594,2713
16.4594,2643
16.4624,2561
16.4644,2460
16.4654,2346
16.4804,2239
16.4814,2113
16.4855,1997
16.4981,1887
16.5113,1785
16.5123,1704
16.5183,1620
16.5320,1556
16.5380,1508
16.5380,1462
16.5469,1436
16.5716,1410
16.5726,1404
16.5777,1408
16.5787,1414
16.5930,1434
16.5982,1455
16.6117,1490
16.6127,1533
16.6136,1566
16.6287,1616
16.6377,1662
16.6467,1709
16.6467,1760
16.6602,1801
16.6692,1849
16.6967,1890
16.6981,1917
16.6981,1946
16.7158,1960
16.7158,1978
16.7219,1982
16.7219,1970
16.7351,1965
16.7361,1948
16.7482,1930
16.7619,1911
16.7619,1879
16.7679,1860
16.7818,1834
16.7882,1801
16.7882,1782
16.8177,1755
16.8187,1737
16.8207,1715
16.8307,1690
16.8317,1683
16.8391,1667
16.8531,1657
16.8588,1647
16.8598,1637
16.8658,1643
16.8793,1645
16.8879,1652
16.9015,1676
16.9025,1704
16.9339,1757
16.9359,1818
16.9562,1901
16.9574,2009
16.9580,2119
16.9585,2240
16.9715,2352
16.9765,2457
16.9775,2561
16.9902,2638
16.9912,2704
16.9965,2746
17.0079,2764
17.0218,2762
17.0218,2724
17.0503,2669
17.0523,2597
17.0533,2501
17.0533,2401
17.0543,2280
17.0814,2164
17.0834,2052
17.0834,1936
17.0844,1835
17.0989,1737
17.1089,1655
17.1099,1589
17.1190,1523
17.1328,1479
17.1348,1448
17.1612,1427
17.1625,1421
17.1625,1414
17.1658,1426
17.1916,1445
17.1925,1466
17.1935,1502
17.1945,1532
17.2105,1579
17.2164,1626
17.2300,1667
17.2310,1724
17.2370,1772
17.2505,1825
17.2566,1875
17.2566,1909
17.2812,1951
17.2825,1975
17.2865,1989
17.3006,2002
17.3006,1998
17.3068,1998
17.3214,1985
17.3274,1962
17.3284,1949
17.3420,1924
17.3480,1905
17.3608,1879
17.3669,1847
17.3669,1826
17.3932,1795
17.3942,1769
17.4068,1748
17.4088,1721
17.4088,1706
17.4218,1683
17.4299,1668
17.4309,1667
17.4544,1662
17.4544,1666
17.4554,1667
17.4696,1674
17.4756,1700
17.4887,1724
17.4897,1777
17.4955,1852
17.5187,1945
17.5207,2061
17.5217,2179
17.5305,2309
17.5409,2440
17.5409,2556
17.5741,2666
17.5751,2745
17.5761,2811
17.5781,2859
17.5781,2870
17.5876,2859
17.6026,2813
17.6081,2750
17.6081,2668
17.6366,2557
17.6366,2447
17.6416,2328
17.6480,2210
17.6490,2097
17.6617,1972
17.6678,1870
17.6817,1773
17.6828,1676
17.6963,1605
17.6973,1541
17.7138,1498
17.7159,1466
17.7289,1429
17.7555,1421
17.7555,1418
17.7567,1430
17.7678,1456
17.7688,1481
17.7698,1530
17.7830,1574
17.7903,1620
17.7903,1677
17.7963,1730
17.8100,1789
17.8170,1842
17.8291,1888
17.8301,1939
17.8430,1969
17.8491,1999
17.8792,2016
17.8802,2024
17.8812,2035
17.8812,2025
17.8917,2010
17.9006,1992
17.9006,1963
17.9107,1942
17.9238,1906
17.9323,1874
17.9333,1849
17.9478,1813
17.9478,1787
17.9659,1758
17.9956,1736
17.9966,1725
17.9966,1702
17.9976,1688
17.9980,1676
18.0093,1665
18.0093,1668
18.0225,1659
18.0295,1662
18.0418,1674
18.0418,1691
18.0508,1737
18.0565,1792
18.0675,1876
18.0858,1987
18.0868,2098
18.0878,2231
18.1088,2364
18.1098,2501
18.1108,2639
18.1161,2746
18.1305,2844
18.1446,2919
18.1456,2964
18.1466,2981
18.1622,2961
18.1693,2921
18.1820,2858
18.1837,2764
18.2137,2660
18.2147,2535
18.2157,2410
18.2383,2285
18.2383,2152
18.2403,2038
18.2403,1929
18.2514,1830
18.2607,1747
18.2667,1665
18.2667,1612
18.2767,1562
18.2900,1520
18.2951,1500
18.2951,1484
18.3092,1489
18.3182,1495
18.3468,1507
18.3478,1541
18.3478,1575
18.3767,1621
18.3777,1671
18.3787,1718
18.3787,1778
18.3797,1827
18.3944,1880
18.4004,1930
18.4014,1966
18.4094,2004
18.4224,2023
18.4294,2038
18.4294,2050
18.4598,2047
18.4608,2043
18.4617,2023
18.4679,2001
18.4769,1982
18.4848,1948
18.4858,1920
18.4991,1886
18.5081,1850
18.5205,1827
18.5205,1793
18.5293,1770
18.5427,1755
18.5436,1733
18.5447,1724
18.5779,1702
18.5789,1694
18.5928,1690
18.5938,1677
18.5938,1676
18.6003,1671
18.6255,1673
18.6255,1692
18.6449,1709
18.6459,1763
18.6479,1838
18.6603,1936
18.6603,2062
18.6739,2191
18.6758,2344
18.7004,2503
18.7014,2651
18.7174,2798
18.7184,2916
18.7194,3023
18.7204,3095
18.7254,3126
18.7393,3137
18.7393,3110
18.7453,3050
18.7577,2970
18.7717,2862
18.7717,2755
18.7778,2631
18.7915,2502
18.7925,2380
18.7925,2252
18.8192,2136
18.8202,2022
18.8454,1917
18.8454,1839
18.8474,1766
18.8629,1712
18.8641,1667
18.8655,1627
18.8655,1610
18.8829,1590
18.8894,1579
18.9025,1584
18.9079,1594
18.9140,1624
18.9423,1649
18.9443,1682
18.9443,1729
18.9453,1769
18.9575,1817
18.9594,1860
18.9704,1904
18.9792,1952
18.9858,1977
18.9868,2000
19.0054,2013
19.0064,2021
19.0174,2031
19.0194,2018
19.0275,2002
19.0524,1989
19.0534,1962
19.0544,1941
19.0699,1903
19.0710,1874
19.0761,1849
19.0770,1816
19.0901,1793
19.1005,1769
19.1115,1753
19.1129,1744
19.1129,1719
19.1271,1709
19.1401,1702
19.1691,1698
19.1691,1700
19.1701,1689
19.1811,1691
19.1831,1690
19.1831,1681
19.2104,1681
19.2110,1673
19.2201,1676
19.2291,1682
19.2353,1679
19.2484,1691
19.2494,1694
19.2625,1698
19.2634,1708
19.2968,1713
19.2968,1739
19.2977,1771
19.2988,1818
19.2997,1892
19.3007,1986
19.3192,2112
19.3202,2254
19.3292,2409
19.3292,2588
19.3379,2754
19.3504,2916
19.3644,3061
19.3654,3176
19.3654,3271
19.3799,3321
19.3864,3333
19.4130,3318
19.4130,3260
19.4140,3182
19.4191,3068
19.4291,2936
19.4291,2798
19.4517,2643
19.4517,2493
19.4577,2342
19.4963,2202
19.4973,2085
19.4993,1969
19.4993,1875
19.5003,1795
19.5334,1727
19.5334,1681
19.5343,1632
19.5353,1600
19.5363,1584
19.5489,1567
19.5489,1565
19.5579,1562
19.5710,1575
19.5730,1600
19.5730,1621
19.5900,1653
19.5990,1688
19.6124,1733
19.6134,1783
19.6144,1818
19.6437,1864
19.6454,1904
19.6691,1939
19.6701,1968
19.6701,1979
19.6716,1995
19.6980,2001
19.6990,1994
19.6990,1986
19.7000,1964
19.7124,1945
19.7194,1919
19.7194,1881
19.7275,1854
19.7542,1817
19.7554,1785
19.7724,1752
19.7741,1713
19.7741,1693
19.7751,1665
19.7886,1641
19.7948,1629
19.7948,1611
19.8087,1610
19.8177,1604
19.8314,1595
19.8324,1603
19.8411,1603
19.8501,1609
19.8587,1610
19.8597,1610
19.8846,1621
19.8861,1619
19.8912,1623
19.8962,1635
19.8972,1644
19.9103,1667
19.9193,1680
19.9330,1693
19.9330,1706
19.9350,1710
19.9481,1718
19.9678,1716
19.9698,1714
19.9698,1722
20.0000,1717
20.0010,1721
20.0020,1721
20.0100,1732
20.0203,1763
20.0203,1797
20.0326,1863
20.0393,1956
20.0665,2068
20.0685,2204
20.0685,2343
20.0695,2505
20.0800,2672
20.0810,2818
20.0885,2956
20.1144,3060
20.1154,3142
20.1154,3193
20.1416,3190
20.1426,3168
20.1489,3106
20.1499,3012
20.1509,2897
20.1616,2751
20.1705,2609
20.1790,2463
20.1800,2306
20.1850,2164
20.1987,2018
20.2128,1896
20.2352,1789
20.2379,1691
20.2389,1624
20.2389,1568
20.2486,1524
20.2629,1497
20.2636,1471
20.2636,1468
20.2802,1465
20.2888,1470
20.2948,1487
20.2958,1505
20.3128,1540
20.3266,1574
20.3567,1610
20.3567,1660
20.3578,1702
20.3604,1747
20.3689,1786
20.3829,1816
20.3829,1854
20.3839,1876
20.3903,1895
20.3993,1910
20.3993,1917
20.4097,1930
20.4197,1925
20.4367,1920
20.4377,1916
20.4387,1900
20.4639,1880
20.4649,1851
20.4829,1819
20.4829,1796
20.4849,1760
20.4859,1730
20.4965,1698
20.5095,1674
20.5170,1659
20.5180,1630
20.5311,1609
20.5380,1596
20.5466,1582
20.5466,1579
20.5605,1565
20.5665,1563
20.5912,1570
20.5922,1565
20.5922,1572
20.5992,1573
20.6131,1582
20.6131,1592
20.6141,1587
20.6315,1596
20.6375,1604
20.6475,1610
20.6485,1621
20.6578,1620
20.6752,1634
20.6762,1648
20.7032,1650
20.7032,1660
20.7042,1663
20.7214,1679
20.7224,1689
20.7362,1687
20.7616,1696
20.7626,1695
20.7626,1697
20.7636,1699
20.7816,1694
20.7826,1702
20.7836,1700
20.7919,1698
20.8209,1699
20.8219,1696
20.8219,1702
20.8386,1699
20.8404,1694
20.8404,1699
20.8415,1693
20.8581,1695
20.8761,1693
20.8771,1686
20.8791,1696
20.8791,1702
20.8904,1729
20.9251,1782
20.9261,1857
20.9261,1965
20.9490,2076
20.9503,2206
20.9513,2352
20.9523,2494
20.9533,2643
20.9701,2772
20.9711,2886
20.9803,2986
20.9852,3040
20.9852,3071
20.9973,3065
21.0110,3033
21.0120,2981
21.0165,2883
21.0305,2767
21.0385,2636
21.0395,2488
21.0683,2347
21.0693,2194
21.0740,2055
21.0750,1928
21.0750,1806
21.0915,1708
21.0998,1621
21.1137,1554
21.1227,1505
21.1227,1458
21.1360,1434
21.1450,1420
21.1499,1419
21.1509,1428
21.1783,1436
21.1799,1462
21.1864,1497
21.1874,1530
21.1999,1574
21.2009,1612
21.2093,1665
21.2226,1715
21.2226,1757
21.2326,1807
21.2326,1848
21.2467,1885
21.2600,1917
21.2600,1931
21.2661,1952
21.2990,1956
21.3003,1950
21.3013,1940
21.3013,1916
21.3102,1895
21.3162,1868
21.3342,1833
21.3352,1807
21.3362,1771
21.3487,1742
21.3617,1712
21.3617,1681
21.3673,1663
21.3817,1638
21.3877,1618
21.4145,1607
21.4145,1595
21.4155,1598
21.4447,1590
21.4460,1588
21.4490,1594
21.4500,1596
21.4500,1604
21.4590,1604
21.4673,1606
21.4802,1617
21.5041,1616
21.5041,1622
21.5091,1626
21.5411,1630
21.5421,1642
21.5431,1640
21.5441,1643
21.5453,1652
21.5464,1657
21.5464,1669
21.5584,1673
21.5674,1683
21.5816,1700
21.5816,1705
21.5878,1715
21.6052,1716
21.6052,1723
21.6203,1730
21.6203,1722
21.6263,1722
21.6556,1719
21.6566,1719
21.6566,1721
21.6646,1711
21.6666,1714
21.6903,1716
21.6914,1712
21.6964,1713
21.6964,1705
21.7102,1710
21.7162,1711
21.7302,1700
21.7312,1699
21.7361,1690
21.7840,1687
21.7860,1692
21.7916,1702
21.7916,1741
21.7925,1794
21.7940,1871
21.8041,1979
21.8041,2096
21.8273,2235
21.8284,2371
21.8416,2500
21.8416,2636
21.8425,2749
21.8502,2850
21.8649,2926
21.8659,2970
21.8669,2995
21.8927,2975
21.8940,2929
21.9010,2859
21.9020,2759
21.9102,2656
21.9240,2524
21.9251,2387
21.9413,2255
21.9413,2120
21.9461,2000
21.9602,1885
21.9711,1782
21.9721,1702
22.0112,1623
22.0122,1561
22.0122,1507
22.0172,1467
22.0202,1448
22.0202,1424
22.0564,1419
22.0574,1429
22.0584,1442
22.0594,1473
22.0604,1496
22.0740,1534
22.1025,1584
22.1035,1624
22.1045,1677
22.1278,1723
22.1278,1776
22.1288,1830
22.1288,1865
22.1358,1907
22.1378,1936
22.1491,1955
22.1491,1969
22.1621,1960
22.1692,1958
22.2115,1949
22.2126,1928
22.2140,1913
22.2140,1886
22.2150,1867
22.2160,1840
22.2450,1804
22.2450,1781
22.2464,1751
22.2541,1724
22.2541,1701
22.2712,1669
22.2712,1657
22.2778,1638
22.2889,1618
22.2889,1608
22.2959,1594
22.3204,1594
22.3214,1590
22.3280,1580
22.3280,1587
22.3562,1587
22.3572,1597
22.3711,1600
22.3721,1604
22.3731,1621
22.3738,1626
22.3918,1638
22.3968,1650
22.3968,1657
22.4098,1675
22.4279,1675
22.4289,1677
22.4380,1690
22.4512,1696
22.4522,1708
22.4582,1708
22.4828,1709
22.4828,1716
22.4878,1711
22.4878,1713
22.5009,1714
22.5029,1717
22.5164,1724
22.5169,1717
22.5301,1716
22.5371,1719
22.5462,1714
22.5602,1715
22.5612,1707
22.5663,1707
22.5966,1710
22.5966,1703
22.5976,1706
22.6100,1706
22.6114,1719
22.6127,1743
22.6127,1773
22.6290,1838
22.6378,1924
22.6509,2030
22.6519,2151
22.6550,2270
22.6663,2405
22.6917,2537
22.6917,2651
22.7175,2756
22.7186,2835
22.7196,2898
22.7364,2927
22.7374,2917
22.7434,2888
22.7444,2829
22.7577,2749
22.7668,2647
22.7708,2522
22.7718,2403
22.7798,2269
22.8035,2139
22.8045,2015
22.8105,1894
22.8105,1799
22.8371,1706
22.8391,1621
22.8391,1555
22.8401,1494
22.8548,1456
22.8568,1428
22.8568,1407
22.8665,1412
22.8805,1411
22.8865,1423
22.9002,1443
22.9013,1461
22.9064,1498
22.9312,1526
22.9322,1566
22.9561,1614
22.9573,1659
22.9580,1714
22.9590,1761
22.9805,1814
22.9815,1871
22.9825,1908
22.9825,1946
22.9989,1970
23.0075,1989
23.0233,2008
23.0244,2004
23.0254,2000
23.0390,1989
23.0390,1965
23.0715,1943
23.0724,1903
23.0724,1872
23.0854,1843
23.0864,1805
23.0864,1775
23.0989,1739
23.1146,1714
23.1161,1693
23.1172,1663
23.1322,1647
23.1342,1626
23.1502,1610
23.1512,1602
23.1614,1588
23.1868,1590
23.1878,1594
23.1878,1597
23.1888,1610
23.2040,1613
23.2178,1630
23.2261,1643
23.2271,1649
23.2387,1664
23.2387,1669
23.2477,1678
23.2608,1684
23.2618,1685
23.2732,1698
23.2802,1700
23.3058,1703
23.3068,1710
23.3068,1707
23.3387,1715
23.3401,1716
23.3516,1721
23.3516,1735
23.3526,1739
23.3536,1747
23.3616,1744
23.3616,1741
23.3696,1746
23.3840,1739
23.3850,1736
23.4028,1732
23.4028,1728
23.4259,1738
23.4279,1744
23.4339,1774
23.4349,1827
23.4447,1899
23.4447,2004
23.4810,2110
23.4820,2231
23.4840,2363
23.4850,2475
23.4850,2591
23.4990,2686
23.5085,2763
23.5456,2825
23.5466,2843
23.5475,2845
23.5485,2823
23.5495,2772
23.5594,2708
23.5604,2609
23.5684,2507
23.5784,2396
23.5794,2267
23.5925,2148
23.5935,2026
23.6176,1917
23.6186,1818
23.6186,1713
23.6300,1631
23.6548,1556
23.6739,1496
23.6739,1453
23.6739,1407
23.6766,1388
23.6776,1377
23.6776,1370
23.6976,1382
23.6976,1392
23.7112,1422
23.7171,1454
23.7181,1484
23.7381,1530
23.7391,1572
23.7491,1622
23.7742,1670
23.7751,1712
23.7751,1772
23.7841,1821
23.7852,1868
23.7992,1913
23.8123,1942
23.8133,1973
23.8133,1985
23.8303,1988
23.8303,1992
23.8393,1979
23.8513,1972
23.8633,1950
23.8643,1923
23.8724,1907
23.9002,1878
23.9013,1850
23.9053,1821
23.9053,1788
23.9288,1768
23.9288,1737
23.9299,1708
23.9299,1690
23.9759,1667
23.9769,1655
23.9769,1636
23.9790,1622
23.9790,1624
23.9859,1618
23.9869,1623
24.0108,1627
24.0128,1633
24.0208,1648
24.0218,1649
24.0218,1654
24.0382,1663
24.0451,1670
24.0621,1684
24.0631,1682
24.0641,1688
24.0800,1698
24.0810,1698
24.0891,1703
24.1028,1704
24.1088,1711
24.1088,1723
24.1348,1728
24.1463,1755
24.1473,1796
24.1503,1859
24.1503,1949
24.1602,2050
24.1677,2179
24.1812,2316
24.1822,2449
24.1982,2579
24.1992,2688
24.2078,2789
24.2211,2860
24.2211,2899
24.2503,2921
24.2503,2909
24.2513,2871
24.2582,2805
24.2685,2709
24.2685,2610
24.2769,2487
24.2909,2358
24.2977,2231
24.3112,2100
24.3112,1987
24.3203,1871
24.3289,1766
24.3289,1682
24.3573,1604
24.3826,1548
24.3836,1495
24.3836,1455
24.3866,1438
24.3876,1419
24.3888,1414
24.4038,1416
24.4038,1422
24.4048,1444
24.4224,1460
24.4284,1486
24.4294,1520
24.4374,1555
24.4517,1602
24.4578,1638
24.4837,1680
24.4837,1726
24.4959,1763
24.4959,1808
24.4969,1846
24.5137,1884
24.5137,1924
24.5147,1940
24.5283,1957
24.5384,1967
24.5394,1968
24.5551,1965
24.5551,1945
24.5691,1928
24.5792,1908
24.5792,1875
24.6221,1847
24.6231,1813
24.6472,1789
24.6482,1768
24.6492,1738
24.6502,1722
24.6512,1703
24.6522,1684
24.6522,1670
24.6673,1650
24.6683,1647
24.6825,1644
24.6835,1640
24.6845,1643
24.6935,1640
24.7238,1653
24.7248,1660
24.7258,1663
24.7613,1676
24.7623,1679
24.7623,1689
24.7633,1694
24.7643,1694
24.7653,1706
24.7824,1707
24.7834,1710
24.7964,1715
24.8102,1715
24.8102,1729
24.8163,1734
24.8408,1742
24.8418,1769
24.8425,1800
24.8525,1860
24.8535,1939
24.8702,2034
24.8702,2157
24.8762,2279
24.8897,2410
24.8957,2541
24.8967,2658
24.9077,2772
24.9216,2852
24.9277,2913
24.9377,2955
24.9634,2962
24.9644,2948
24.9644,2896
24.9664,2822
24.9788,2736
24.9788,2618
24.9868,2495
25.0028,2358
25.0038,2219
25.0211,2090
25.0221,1957
25.0277,1843
25.0408,1741
25.0417,1649
25.0800,1578
25.0810,1510
25.0810,1464
25.0820,1432
25.0830,1409
25.0888,1404
25.0983,1401
25.1103,1413
25.1103,1434
25.1153,1452
25.1284,1488
25.1356,1521
25.1488,1562
25.1495,1605
25.1626,1638
25.1686,1687
25.1992,1734
25.1992,1779
25.2012,1825
25.2017,1860
25.2101,1904
25.2176,1940
25.2533,1959
25.2548,1982
25.2548,1987
25.2558,1991
25.2568,1985
25.2733,1966
25.2733,1954
25.2743,1929
25.2925,1901
25.2925,1875
25.3199,1839
25.3199,1815
25.3256,1786
25.3276,1756
25.3276,1739
25.3540,1718
25.3600,1705
25.3610,1691
25.3725,1678
25.3725,1679
25.3785,1668
25.3920,1668
25.4064,1666
25.4064,1663
25.4074,1670
25.4332,1666
25.4352,1663
25.4352,1669
25.4462,1671
25.4462,1683
25.4584,1680
25.4674,1684
25.4764,1697
25.4899,1696
25.4899,1700
25.4958,1700
25.5101,1698
25.5157,1705
25.5167,1701
25.5502,1712
25.5512,1736
25.5608,1771
25.5618,1833
25.5628,1910
25.5638,2020
25.5811,2149
25.5820,2280
25.5860,2424
25.6001,2555
25.6137,2687
25.6147,2805
25.6157,2887
25.6313,2956
25.6373,2991
25.6619,2997
25.6629,2977
25.6629,2915
25.6710,2841
25.6850,2742
25.6860,2620
25.6900,2490
25.6986,2346
25.7122,2212
25.7261,2077
25.7351,1946
25.7438,1833
25.7438,1728
25.7524,1647
25.7614,1577
25.7869,1514
25.7879,1478
25.7879,1448
25.7913,1426
25.7961,1419
25.8100,1414
25.8100,1430
25.8165,1447
25.8296,1470
25.8309,1506
25.8382,1539
25.8500,1582
25.8624,1623
25.8624,1664
25.9085,1720
25.9095,1762
25.9278,1808
25.9304,1851
25.9304,1886
25.9314,1927
25.9324,1948
25.9334,1968
25.9344,1992
25.9525,1997
25.9525,2004
25.9535,1993
25.9677,1978
25.9687,1963
25.9874,1931
25.9874,1901
25.9964,1864
26.0362,1829
26.0372,1803
26.0382,1764
26.0551,1738
26.0561,1716
26.0575,1693
26.0575,1681
26.0581,1661
26.0701,1651
26.0786,1651
26.0786,1643
26.0925,1648
26.0935,1647
26.1112,1657
26.1122,1670
26.1122,1671
26.1412,1685
26.1423,1692
26.1433,1700
26.1443,1712
26.1612,1709
26.1702,1719
26.1783,1723
26.1953,1717
26.1953,1719
26.2087,1710
26.2170,1718
26.2230,1725
26.2379,1730
26.2381,1763
26.2633,1801
26.2644,1873
26.2726,1966
26.2736,2070
26.2736,2207
26.2746,2344
26.2887,2483
26.2990,2620
26.3224,2741
26.3224,2858
26.3234,2934
26.3244,2984
26.3254,3012
26.3428,3001
26.3488,2963
26.3785,2886
26.3785,2784
26.3794,2672
26.3874,2538
26.3904,2404
26.4002,2264
26.4002,2125
26.4137,2001
26.4150,1878
26.4312,1771
26.4324,1682
26.4454,1602
26.4464,1543
26.4634,1488
26.4644,1453
26.4906,1438
26.4916,1423
26.4926,1424
26.5059,1429
26.5340,1445
26.5340,1472
26.5350,1492
26.5350,1528
26.5363,1570
26.5363,1614
26.5481,1667
26.5570,1709
26.5705,1760
26.5765,1814
26.5765,1862
26.5874,1911
26.6134,1945
26.6147,1974
26.6159,1999
26.6159,2006
26.6261,2010
26.6401,2001
26.6462,1988
26.6462,1974
26.6602,1942
26.6712,1919
26.6762,1893
26.6910,1862
26.6920,1839
26.6920,1807
26.7096,1788
26.7353,1765
26.7363,1733
26.7413,1712
26.7413,1687
26.7423,1674
26.7587,1664
26.7671,1652
26.7681,1652
26.7811,1650
26.7875,1647
26.7875,1648
26.8061,1647
26.8070,1662
26.8200,1669
26.8260,1675
26.8260,1686
26.8536,1690
26.8546,1698
26.8556,1700
26.8684,1699
26.8693,1711
26.8773,1713
26.8910,1722
26.9000,1730
26.9010,1743
26.9096,1781
26.9240,1825
26.9325,1896
26.9325,1996
26.9463,2111
26.9728,2251
26.9738,2384
26.9748,2521
26.9758,2653
26.9886,2761
26.9886,2859
27.0021,2931
27.0195,2973
27.0205,2992
27.0215,2965
27.0275,2917
27.0411,2842
27.0411,2741
27.0600,2634
27.0600,2501
27.0869,2369
27.0889,2238
27.0889,2098
27.0899,1980
27.1033,1861
27.1044,1762
27.1054,1677
27.1185,1593
27.1275,1534
27.1409,1483
27.1419,1451
27.1429,1433
27.1737,1413
27.1747,1418
27.1762,1425
27.2047,1439
27.2047,1465
27.2047,1491
27.2147,1538
27.2157,1581
27.2257,1620
27.2394,1672
27.2404,1715
27.2464,1771
27.2600,1820
27.2600,1859
27.2724,1909
27.2812,1943
27.2902,1973
27.3235,1995
27.3245,2003
27.3245,2011
27.3538,2001
27.3538,1986
27.3548,1974
27.3548,1952
27.3562,1933
27.3572,1904
27.3572,1874
27.3737,1854
27.3798,1821
27.3888,1791
27.3987,1760
27.3987,1734
27.4069,1720
27.4324,1697
27.4339,1682
27.4522,1674
27.4532,1661
27.4532,1658
27.4548,1647
27.4686,1647
27.4696,1655
27.4867,1653
27.4867,1661
27.4996,1667
27.5052,1674
27.5174,1690
27.5174,1690
27.5309,1699
27.5359,1705
27.5359,1707
27.5598,1720
27.5612,1723
27.5656,1748
27.5798,1794
27.5808,1850
